23/07 09:02:18:726 Command Routing started
23/07 09:02:18:790 Starting process session
23/07 15:05:19:385 Command Routing started
23/07 15:05:19:498 Starting process session
23/07 15:11:49:921 Command Routing started
23/07 15:11:49:962 Starting process session
23/07 15:13:10:231 Command Routing started
23/07 15:13:10:293 Starting process session
23/07 15:13:40:565 Command Routing started
23/07 15:13:40:601 Starting process session
23/07 15:14:21:267 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:268 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:269 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:270 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:271 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:272 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:273 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:274 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:285 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:286 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:287 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:288 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:289 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:290 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:291 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:292 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:353 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:354 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:355 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:356 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:357 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:358 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:359 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:360 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:361 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:362 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:363 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:364 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:365 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:366 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:367 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:368 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:431 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:432 84967289993: VT8X26 - VT8X26.SENDSMS
